prompt_id,model,hallucination,bert_f1,cos_sim,nli_contradiction,token_len,entity_count,question_type,ambiguity_flag
A1,gpt-3.5-turbo,0,1.0,1.0,0.9926806092262268,7,1,what,
A1,gpt-4o,0,1.0,1.0,0.9926806092262268,7,1,what,
A2,gpt-3.5-turbo,0,0.9783,0.9595,0.9911606907844543,13,2,,
A2,gpt-4o,0,1.0,1.0,0.9941645264625549,13,2,,
A3,gpt-3.5-turbo,0,0.9464,0.9854,0.9925256967544556,6,1,who,
A3,gpt-4o,0,0.9817,0.9888,0.9928977489471436,6,1,who,
A4,gpt-3.5-turbo,0,1.0,1.0,0.9901430606842041,9,0,what,
A4,gpt-4o,0,0.9205,0.9143,0.9884456396102905,9,0,what,
A5,gpt-3.5-turbo,0,0.8229,0.6356,0.10217691957950592,8,2,,
A5,gpt-4o,0,1.0,1.0,0.9926589131355286,8,2,,
A6,gpt-3.5-turbo,0,0.9449,0.9272,0.9888424873352051,8,1,what,
A6,gpt-4o,0,0.9302,0.8633,0.9910518527030945,8,1,what,
A7,gpt-3.5-turbo,0,0.876,0.6573,0.0605449303984642,6,1,who,
A7,gpt-4o,0,1.0,1.0,0.9912407994270325,6,1,who,
A8,gpt-3.5-turbo,1,0.9254,0.9428,0.99445641040802,9,1,what,
A8,gpt-4o,0,0.9381,0.9488,0.9939767122268677,9,1,what,
A9,gpt-3.5-turbo,0,0.8279,0.6791,0.37923556566238403,7,1,,
A9,gpt-4o,0,1.0,1.0,0.9935128092765808,7,1,,
A10,gpt-3.5-turbo,1,0.8397,0.3164,0.0013424112694337964,11,0,,
A10,gpt-4o,0,0.9801,0.9859,0.9936676621437073,11,0,,
F1,gpt-3.5-turbo,1,0.8369,0.7531,0.0037990270648151636,10,1,,
F1,gpt-4o,0,0.8215,0.6273,0.07682619988918304,10,1,,
F2,gpt-3.5-turbo,0,0.921,0.8155,0.5916666388511658,13,1,,
F2,gpt-4o,0,0.9148,0.8245,0.993438184261322,13,1,,
F3,gpt-3.5-turbo,0,0.9291,0.9189,0.05320199951529503,10,3,,
F3,gpt-4o,0,0.8936,0.7187,0.9882133603096008,10,3,,
F4,gpt-3.5-turbo,0,0.869,0.8259,0.7269554734230042,10,0,,
F4,gpt-4o,0,0.8665,0.833,0.9488201141357422,10,0,,
F5,gpt-3.5-turbo,0,0.8571,0.6681,0.46620312333106995,11,3,,
F5,gpt-4o,1,0.8446,0.6864,0.32613280415534973,11,3,,
F6,gpt-3.5-turbo,0,0.9048,0.8673,0.9771101474761963,9,2,,
F6,gpt-4o,0,0.8713,0.8396,0.9187681078910828,9,2,,
F7,gpt-3.5-turbo,0,0.8644,0.511,0.9724765419960022,14,1,,
F7,gpt-4o,0,0.8333,0.602,0.36578407883644104,14,1,,
F8,gpt-3.5-turbo,1,0.8517,0.7269,0.05508241429924965,11,0,,
F8,gpt-4o,0,0.8278,0.7551,0.12945635616779327,11,0,,
F9,gpt-3.5-turbo,1,0.8347,0.5911,0.007324007339775562,14,2,,
F9,gpt-4o,0,0.8388,0.604,0.4454149305820465,14,2,,
F10,gpt-3.5-turbo,0,0.8972,0.911,0.9599446654319763,8,0,,
F10,gpt-4o,1,0.8536,0.7992,0.04767931252717972,8,0,,
