prompt_id,category,prompt,model,response,factual_accuracy, completeness, support_verifiability, reasoning, tone_hedging,hallucination,label notes, reference text,bert_f1,token_len,entity_count,question_type,ambiguity_flag,cos_sim
B1,B,Tell me about Mercury.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B1,B,Tell me about Mercury.,gpt-4o,,,,,,,,,,,,,,,
B2,B,Describe the Amazon.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B2,B,Describe the Amazon.,gpt-4o,,,,,,,,,,,,,,,
B3,B,What happened in Georgia in 1991?,gpt-3.5-turbo,,,,,,,,,,,,,,,
B3,B,What happened in Georgia in 1991?,gpt-4o,,,,,,,,,,,,,,,
B4,B,Explain the significance of Jordan in sports history.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B4,B,Explain the significance of Jordan in sports history.,gpt-4o,,,,,,,,,,,,,,,
B5,B,Discuss the role of Holland in World War II.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B5,B,Discuss the role of Holland in World War II.,gpt-4o,,,,,,,,,,,,,,,
B6,B,Provide an overview of the Springfield massacre.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B6,B,Provide an overview of the Springfield massacre.,gpt-4o,,,,,,,,,,,,,,,
B7,B,Summarize the story of The Secret Garden.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B7,B,Summarize the story of The Secret Garden.,gpt-4o,,,,,,,,,,,,,,,
B8,B,Outline the history of the Eagles.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B8,B,Outline the history of the Eagles.,gpt-4o,,,,,,,,,,,,,,,
B9,B,What is the importance of Java in technology?,gpt-3.5-turbo,,,,,,,,,,,,,,,
B9,B,What is the importance of Java in technology?,gpt-4o,,,,,,,,,,,,,,,
B10,B,Describe the influence of Washington on world politics.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B10,B,Describe the influence of Washington on world politics.,gpt-4o,,,,,,,,,,,,,,,
B11,B,Give background on the Patriots’ greatest victory.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B11,B,Give background on the Patriots’ greatest victory.,gpt-4o,,,,,,,,,,,,,,,
B12,B,Tell me about the Phoenix lights incident.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B12,B,Tell me about the Phoenix lights incident.,gpt-4o,,,,,,,,,,,,,,,
B13,B,Explain the legacy of Lincoln’s address.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B13,B,Explain the legacy of Lincoln’s address.,gpt-4o,,,,,,,,,,,,,,,
B14,B,Discuss the origins of the Tigers franchise.,gpt-3.5-turbo,,,,,,,,,,,,,,,
B14,B,Discuss the origins of the Tigers franchise.,gpt-4o,,,,,,,,,,,,,,,
