prompt_id,model,hallucination,bert_f1,cos_sim,nli_contradiction,token_len,char_len,entity_count,pronoun_ratio,imperative_flag,readability_score,punct_density,question_type,ambiguity_flag,completeness
A1,gpt-3.5-turbo,0,1.0,1.0,0.9926806092262268,7.0,31.0,1.0,0.1667,False,73.85,0.0323,what,,1.0
A1,gpt-4o,0,1.0,1.0,0.9926806092262268,7.0,31.0,1.0,0.1667,False,73.85,0.0323,what,,1.0
A2,gpt-3.5-turbo,0,0.9783,0.9595,0.9911606907844543,13.0,57.0,2.0,0.0,False,88.91,0.0175,,,1.0
A2,gpt-4o,0,1.0,1.0,0.9941645264625549,13.0,57.0,2.0,0.0,False,88.91,0.0175,,,1.0
A3,gpt-3.5-turbo,0,0.9464,0.9854,0.9925256967544556,6.0,25.0,1.0,0.25,False,100.24,0.04,who,,1.0
A3,gpt-4o,0,0.9817,0.9888,0.9928977489471436,6.0,25.0,1.0,0.25,False,100.24,0.04,who,,1.0
A4,gpt-3.5-turbo,0,1.0,1.0,0.9901430606842041,9.0,41.0,0.0,0.1429,False,66.79,0.0244,what,,1.0
A4,gpt-4o,0,0.9205,0.9143,0.9884456396102905,9.0,41.0,0.0,0.1429,False,66.79,0.0244,what,,1.0
A5,gpt-3.5-turbo,0,0.8229,0.6356,0.10217691957950592,8.0,36.0,2.0,0.0,False,103.04,0.0278,which,,1.0
A5,gpt-4o,0,1.0,1.0,0.9926589131355286,8.0,36.0,2.0,0.0,False,103.04,0.0278,which,,1.0
A6,gpt-3.5-turbo,0,0.9449,0.9272,0.9888424873352051,8.0,37.0,1.0,0.1429,False,66.79,0.027,what,,1.0
A6,gpt-4o,0,0.9302,0.8633,0.9910518527030945,8.0,37.0,1.0,0.1429,False,66.79,0.027,what,,1.0
A7,gpt-3.5-turbo,0,0.876,0.6573,0.0605449303984642,6.0,26.0,1.0,0.2,False,66.4,0.0385,who,,1.0
A7,gpt-4o,0,1.0,1.0,0.9912407994270325,6.0,26.0,1.0,0.2,False,66.4,0.0385,who,,1.0
A8,gpt-3.5-turbo,1,0.9254,0.9428,0.99445641040802,9.0,43.0,1.0,0.125,False,61.24,0.0233,what,,1.0
A8,gpt-4o,0,0.9381,0.9488,0.9939767122268677,9.0,43.0,1.0,0.125,False,61.24,0.0233,what,,1.0
A9,gpt-3.5-turbo,0,0.8279,0.6791,0.37923556566238403,7.0,34.0,1.0,0.0,False,45.65,0.0294,which,,1.0
